Ticker_YF,Name,Market,MarketCap_EUR
FXI.ST,FX International AB,Spotlight Stockholm,628215.72
G5EN.ST,G5 Entertainment AB,Nasdaq Stockholm Small Cap,41370562.45
GABA.ST,Gabather AB,First North Stockholm,1599540.52
THRILL.ST,Gamethrill,Nordic Growth Market,823749.78
GCOR.ST,Gaming Corps AB,First North Stockholm,10187258.43
GAPW-B.ST,Gapwaves AB B,First North Stockholm,37765453.36
GARO.ST,Garo AB,Nasdaq Stockholm Small Cap,48820960.70
GARPCO-B.ST,Garpco B,Nordic Growth Market,26387036.68
GPX.ST,Gasporox AB,First North Stockholm,4901264.28
GENI.ST,Generic Sweden AB,First North Stockholm,42351108.21
GPG.ST,Genova Property Group AB,Nasdaq Stockholm Mid Cap,152177219.91
GENO.ST,Genovis AB,First North Stockholm,115970490.74
G2M.ST,Gentoo Media Inc.,Nasdaq Stockholm Mid Cap,42262432.40
GIG-SDB.ST,GiG Software PLC,First North Premier Stockholm,32806979.91
GIGA.ST,Gigasun AB,First North Stockholm,15710504.19
GTAB-B.ST,Glycorex Transplantation B,Nordic Growth Market,8608513.45
GTG.ST,Gold Town Games,Nordic Growth Market,889874.85
GOMERO.ST,Gomero Group AB,Spotlight Stockholm,5060908.30
GOMX.ST,GomSpace Group AB,First North Premier Stockholm,180342121.05
BTCX.ST,Goobit Group,Nordic Growth Market,1065388.56
GBK.ST,Goodbye Kansas Group AB,First North Stockholm,2859882.01
GOSOL.ST,Gosol Energy Group AB,Spotlight Stockholm,4224798.95
GAD.ST,Gotland Art & Design AB,Spotlight Stockholm,0.00
GRANGX.ST,GRANGEX AB,First North Premier Stockholm,36750656.68
GREAT.ST,Greater Than AB,First North Stockholm,14829141.75
GREEN.ST,Green Landscaping Group AB,Nasdaq Stockholm Mid Cap,108455784.45
GMERC-B.ST,GreenMerc B,Nordic Growth Market,0.00
GGEO.ST,Guideline Geo AB,First North Stockholm,8683495.90
GULD.ST,Guldbrev Holding AB,First North Stockholm,31541570.31
GJAB.ST,Gullberg & Jansson AB,Spotlight Stockholm,12205416.24
H100.ST,H100 Group,Nordic Growth Market,45690942.01
HAKI-A.ST,HAKI Safety AB ser. A,Nasdaq Stockholm Small Cap,55268612.31
HAKI-B.ST,HAKI Safety AB ser. B,Nasdaq Stockholm Small Cap,55268612.31
HAMLET-B.ST,Hamlet BioPharma AB ser. B,Spotlight Stockholm,87022273.71
HAV-B.ST,Havsfrun Investment AB ser. B,Nasdaq Stockholm Small Cap,14019630.04
HEGR.ST,Hedera Group AB,First North Stockholm,1295162.88
HMPLY.ST,Hemply Balance Holding,Nordic Growth Market,821969.61
HERNO-B.ST,Hernö Gin AB ser. B,First North Stockholm,0.00
HEXI.ST,Hexicon AB,First North Stockholm,3399728.12
HFRTO-B.ST,HF Reverse (RTO) AB ser. B,Spotlight Stockholm,0.00
HIGHCO-B.ST,High Coast Distillery AB ser. B,First North Stockholm,14444580.87
HILB-B.ST,Hilbert Group AB ser. B,First North Stockholm,19927800.09
HOLDFL.ST,Holdflight,Nordic Growth Market,1553647.69
HOME-B.ST,HomeMaid AB ser. B,Spotlight Stockholm,50818484.89
HOODIN.ST,Hoodin AB,Spotlight Stockholm,1054846.03
HUM.ST,Humana AB,Nasdaq Stockholm Mid Cap,286138573.89
HUMBLE.ST,Humble Group AB,Nasdaq Stockholm Mid Cap,217357004.80
HUNTER.ST,Hunter Capital AB,Spotlight Stockholm,4243087.34
HCRTO1.ST,Hunter Capital RTO 1 AB,Spotlight Stockholm,0.00
HCRTO2.ST,Hunter Capital RTO 2 AB,Spotlight Stockholm,0.00
HYCO.ST,Hybricon,Nordic Growth Market,1906501.75
LOVE-B.ST,I Love Lund AB ser. B,Spotlight Stockholm,3667592.40
ITECH.ST,I-Tech AB,First North Stockholm,75130184.37
ICO.ST,Iconovo AB,First North Stockholm,7937332.93
IDLDX.ST,IDL Diagnostics AB,First North Stockholm,7906716.07
IS.ST,Image Systems AB,Nasdaq Stockholm Small Cap,6588133.54
IMHO-B.ST,IMHO Intermedia House,Nordic Growth Market,325226.81
IMMNOV.ST,Immunovia AB,Nasdaq Stockholm Small Cap,8389242.97
IMPC.ST,Impact Coatings AB,First North Stockholm,27384597.55
INCOAX.ST,InCoax Networks AB,First North Stockholm,10179116.51
IBT-B.ST,Infant Bacterial Therapeutics AB ser. B,Nasdaq Stockholm Small Cap,74828149.52
INFRA.ST,Infracom,Nordic Growth Market,39428808.12
INFREA.ST,Infrea AB,Nasdaq Stockholm Small Cap,33544197.90
ISAB.ST,Inhalation Sciences Sweden AB,Spotlight Stockholm,605875.98
INISS-B.ST,Inission AB ser. B,Nasdaq Stockholm Small Cap,137436896.16
INIT.ST,Initiator Pharma A/S,First North Stockholm,14035571.79
INQ.ST,INQ Group AB,Nasdaq Stockholm Small Cap,18330992.84
INSIG-PREF.ST,Insig PREF,Nordic Growth Market,0.00
INSP.ST,Insplorion AB,Spotlight Stockholm,687074.59
INTEG-B.ST,Integrum AB ser. B,First North Stockholm,21427491.00
IVACC.ST,Intervacc AB,First North Stockholm,28783087.60
IMS.ST,Invent Medic Sweden AB,Spotlight Stockholm,1947387.07
IRIS.ST,Irisity AB,First North Stockholm,10267755.02
IRLAB-A.ST,IRLAB Therapeutics AB ser. A,Nasdaq Stockholm Small Cap,24001714.41
ISOFOL.ST,Isofol Medical AB,Nasdaq Stockholm Small Cap,21272806.38
IZAFE-B.ST,iZafe Group AB ser. B,First North Stockholm,12184418.60
JLT.ST,JLT Mobile Computers AB,First North Stockholm,3786473.36
JDT.ST,JonDeTech Sensors,Nordic Growth Market,4039193.36
GATE.ST,Jumpgate,Nordic Growth Market,2939577.55
KFAST-B.ST,K-Fast Holding AB B,Nasdaq Stockholm Mid Cap,240622138.17
K2A-PREF.ST,K2A Knaust & Andersson Fastigheter  Pref,Nasdaq Stockholm Small Cap,0.00
K2A-B.ST,K2A Knaust & Andersson Fastigheter B,Nasdaq Stockholm Small Cap,32021382.62
K33.ST,K33 AB,First North Stockholm,29466409.52
KABE-B.ST,KABE Group AB ser. B,Nasdaq Stockholm Mid Cap,184716157.21
KAKEL.ST,Kakel Max AB,First North Stockholm,2866308.65
KAPIAB.ST,Kallebäck Property Invest AB,First North Stockholm,64711790.39
KAV.ST,Katalysen Ventures AB,Spotlight Stockholm,5171739.21
KBC.ST,KB Components AB,First North Premier Stockholm,200034934.50
KDV-B.ST,KDventures AB ser. B,Nasdaq Stockholm Small Cap,18209798.60
KEBNI-B.ST,KebNi AB ser. B,First North Stockholm,19547731.35
KENH.ST,Kentima Holding AB,First North Stockholm,7284160.52
KEOC.ST,Keo Capital AB,Nasdaq Stockholm Small Cap,214456445.24
BRAVE.ST,Kinda Brave Entertainment Group AB,First North Stockholm,12688018.08
KJELL.ST,Kjell Group AB,First North Stockholm,137384762.79
KLARA-B.ST,KlaraBo Sverige AB ser. B,Nasdaq Stockholm Mid Cap,182088893.54
KLAR.ST,Klaria Pharma Holding AB,First North Stockholm,13104406.38
KLIMAT.ST,Klimator AB,First North Stockholm,11360327.86
KNOW.ST,Knowit AB,Nasdaq Stockholm Mid Cap,230519491.70
KONT.ST,Kontigo Care AB,Spotlight Stockholm,4248643.41
KOBR-B.ST,Kopparbergs B,Nordic Growth Market,210950460.26
KRONA.ST,Krona Public Real Estate AB,Spotlight Stockholm,27234091.27
KVIX.ST,Kvix,Nordic Growth Market,2906238.43
LAMM-B.ST,Lammhults Design Group AB ser. B,Nasdaq Stockholm Small Cap,18533947.42
LANE-B.ST,Lane Capital Group AB ser. B,Spotlight Stockholm,686751.97
LGOLD-B.ST,Lappland Guldprospektering AB B,Spotlight Stockholm,15267776.94
LATF-B.ST,Latvian Forest Company B,Nordic Growth Market,24642781.05
LEMSE.ST,Leading Edge Materials Corp.,First North Stockholm,41022103.93
LEVBIO.ST,Level Bio,Nordic Growth Market,1295663.14
LAIR.ST,LightAir,Nordic Growth Market,3138469.26
LIGR.ST,Lightning Group AB,Spotlight Stockholm,7421635.28
LIME.ST,Lime Technologies AB,Nasdaq Stockholm Mid Cap,282491495.55
LINKAB.ST,Link Prop Investment,Nordic Growth Market,17075109.17
LITI.ST,Litium AB,First North Stockholm,17828362.10
LOGIST-A.ST,Logistri Fastighets AB ser. A,Spotlight Stockholm,124970597.64
LOGIST-B.ST,Logistri Fastighets AB ser. B,Spotlight Stockholm,126237191.53
LOHILO.ST,Lohilo Foods,Nordic Growth Market,9836569.87
LOVI.ST,Lovisagruvan AB,Spotlight Stockholm,3646113.54
LOYAL.ST,Loyal Solutions A/S,First North Stockholm,7509692.58
LUC.ST,Lucara Diamond Corp,First North Stockholm,155552856.59
LUMEN.ST,LumenRadio AB,First North Stockholm,56700937.12
LUMITO.ST,Lumito,Nordic Growth Market,320977.64
LXB.ST,Luxbright AB,First North Stockholm,1045132.31
LYGRD.ST,Lyckegård Group AB,First North Stockholm,17832991.44
LYKO-A.ST,Lyko Group AB ser. A,First North Premier Stockholm,110579737.29
LARK.ST,Lärkberget AB,First North Stockholm,4012120.26
MOBA.ST,M.O.B.A. Network AB,First North Stockholm,1881980.70
MAGI.ST,MAG Interactive AB,First North Premier Stockholm,19807356.33
MAGLE.ST,Magle Chemoswed Holding AB,First North Stockholm,1004367.95
MAHVIE.ST,Mahvie Minerals,Nordic Growth Market,5957862.10
MEAB-B.ST,Malmbergs Elektriska AB ser. B,Nasdaq Stockholm Small Cap,21938864.63
MANG.ST,Mangold AB,Nasdaq Stockholm Small Cap,70317738.86
MANTEX.ST,Mantex AB,First North Stockholm,1280943.23
MAVEN.ST,Maven Wireless Sweden AB,First North Stockholm,24942106.90
MAV.ST,Mavshack AB,First North Stockholm,279453.62
MAXENT-B.ST,Maximum Entertainment AB ser. B,First North Stockholm,1311344.45
MCLR.ST,Medclair,Nordic Growth Market,22571589.61
MEGR.ST,Mediacle Group,Nordic Growth Market,7379124.89
MEDFIN-B.ST,Medicortex International B,Nordic Growth Market,2260319.39
MVIR.ST,Medivir AB,Nasdaq Stockholm Small Cap,99191913.71
MEDS.ST,Meds Apotek AB,First North Premier Stockholm,38439683.84
IMMU.ST,Mendus AB,Nasdaq Stockholm Small Cap,39777844.63
MNTC.ST,Mentice AB,First North Premier Stockholm,33898265.76
META.ST,Metacon AB,First North Stockholm,15839073.36
MSAB-B.ST,Micro Systemation AB B,Nasdaq Stockholm Small Cap,148715008.65
MPOS.ST,Micropos Medical AB,Spotlight Stockholm,17288134.85
MSON-A.ST,Midsona AB ser. A,Nasdaq Stockholm Small Cap,131029031.79
MSON-B.ST,Midsona AB ser. B,Nasdaq Stockholm Small Cap,131029031.79
MIDS.ST,Midsummer AB,First North Premier Stockholm,67054675.20
MINEST.ST,Minesto AB,First North Stockholm,30668181.31
MIR.ST,Miris Holding AB,Spotlight Stockholm,2467211.53
MOB.ST,Moberg Pharma AB,Nasdaq Stockholm Small Cap,47135762.79
MODEL.ST,Modelon AB,First North Stockholm,11539661.05
MODTX.ST,Modus Therapeutics Holding AB,First North Stockholm,6040850.13
MOFAST.ST,Mofast AB,Spotlight Stockholm,45315158.78
MOMENT.ST,Moment Group AB,Nasdaq Stockholm Small Cap,10878089.52
MONI.ST,Monivent AB,Spotlight Stockholm,3469011.53
MBBAB.ST,MoveByBike Europe AB,Spotlight Stockholm,2336770.66
MRSELL.ST,mResell Holding AB,Spotlight Stockholm,9872423.32
MTI.ST,MTI Investment AB,First North Stockholm,0.00
MYBEAT.ST,My Beat AB,Spotlight Stockholm,0.00
SAFETY-B.ST,mySafety Group AB ser. B,Nasdaq Stockholm Small Cap,35104589.43
NANEXA.ST,Nanexa AB,First North Stockholm,80926971.70
NANOC-B.ST,NanoCap Group AB ser. B,First North Stockholm,2144855.81
NANECH.ST,NanoEcho AB,First North Stockholm,0.00
NANOFS.ST,Nanoform Finland Oyj,First North Premier Stockholm,76537648.82
NICA.ST,Nanologica AB,Nasdaq Stockholm Small Cap,9705171.00
NATTA.ST,Nattaro Labs AB,Spotlight Stockholm,2508200.35
NAVIGO-STAM.ST,Navigo Invest AB,First North Premier Stockholm,45011225.85
NAVIGO-PREF.ST,Navigo Invest AB Pref,First North Premier Stockholm,44731749.87
NAXS.ST,NAXS AB,Nasdaq Stockholm Small Cap,29743545.59
NEEMS-B.ST,Neem's Hill AB B,First North Stockholm,6273324.28
NELLY.ST,Nelly Group AB,Nasdaq Stockholm Mid Cap,91494953.97
NEOBO.ST,Neobo Fastigheter AB,Nasdaq Stockholm Mid Cap,233897821.40
NEOLA.ST,Neola Medical AB,First North Stockholm,5162022.62
NEO-B.ST,Neovici Holding AB ser. B,First North Stockholm,15681275.20
NEPA.ST,Nepa AB,First North Stockholm,10953521.14
NETI-B.ST,Net Insight AB ser. B,Nasdaq Stockholm Mid Cap,94868618.08
NETEL.ST,Netel Holding AB,Nasdaq Stockholm Small Cap,14066324.72
BBROOM.ST,New Bubbleroom Sweden AB,First North Stockholm,0.00
NNH.ST,New Nordic Healthbrands AB,First North Stockholm,9252220.09
NEWBRY.ST,Newbury Pharmaceuticals AB,First North Stockholm,0.00
NEXAM.ST,Nexam Chemical Holding AB,First North Premier Stockholm,26585609.78
NXAR.ST,Nexar Group,Nordic Growth Market,1509385.59
NXTCL.ST,NextCell Pharma AB,First North Stockholm,11678930.22
NFO.ST,NFO Drives AB,Spotlight Stockholm,1711437.73
NGS.ST,NGS Group,Nordic Growth Market,5742719.65
NICO.ST,Nicoccino Holding AB,First North Stockholm,5547005.59
NIDHOG.ST,Nidhogg Resources Holding AB,Spotlight Stockholm,422537.73
NILS.ST,Nilsson Special Vehicles AB,Spotlight Stockholm,1885480.52
BOAT.ST,Nimbus Group AB,First North Stockholm,43003506.72
NITRO.ST,Nitro Games Oyj,First North Stockholm,4524282.45
NIVI-B.ST,Nivika Fastigheter AB ser. B,Nasdaq Stockholm Mid Cap,291550224.72
NOBI.ST,Nobia AB,Nasdaq Stockholm Mid Cap,188881058.60
NODE.ST,Nodebis Applications,Nordic Growth Market,19974956.33
NORDIG.ST,Nord Insuretech Group,Nordic Growth Market,19852532.93
NORDEN.ST,Norden Estates AB,Spotlight Stockholm,0.00
NFGAB.ST,Nordic Flanges Group AB,First North Stockholm,5529863.67
NIO.ST,Nordic Iron Ore AB,First North Stockholm,23903805.24
LEVEL.ST,Nordic LEVEL Group AB,First North Stockholm,9729210.31
NORB-B.ST,Nordisk Bergteknik AB ser. B,Nasdaq Stockholm Small Cap,52238926.64
NOTEK.ST,Norditek Group AB,First North Stockholm,12412033.62
NREST.ST,Nordrest Holding AB,First North Stockholm,292863013.19
CAPS.ST,Northern CapSek Ventures,Nordic Growth Market,574891.35
CAPS-PREF.ST,Northern CapSek Ventures PREF,Nordic Growth Market,574891.35
NOSA.ST,Nosa Plugs AB,First North Stockholm,10122872.05
NTEK-B.ST,NOVOTEK AB ser. B,Nasdaq Stockholm Small Cap,62211353.71
NOVU.ST,Novus Group International AB,Spotlight Stockholm,2771972.49
NOWO.ST,Nowonomics,Nordic Growth Market,12136216.94
NP3-PREF.ST,NP3 Fastigheter AB Pref,Nasdaq Stockholm Large Cap,0.00
NYOR.ST,Nyorda AB,Nasdaq Stockholm Small Cap,32597362.27
OBDU-B.ST,Obducat B,Nordic Growth Market,29140821.22
OBDU-PREF-B.ST,Obducat PREF B,Nordic Growth Market,29140821.22
OBSE.ST,Observit AB,First North Stockholm,36332702.10
ODI.ST,ODI Pharma AB,Spotlight Stockholm,3554020.09
ODIN.ST,Odinwell AB,Spotlight Stockholm,1287522.01
OGUN-B.ST,Ogunsen AB ser. B,First North Stockholm,20670969.43
ONCO.ST,Oncopeptides AB,Nasdaq Stockholm Small Cap,53926633.28
ONCOZ.ST,OncoZenge AB,First North Stockholm,7305262.62
ONEF.ST,Oneflow AB,First North Premier Stockholm,43557276.24
OBAB.ST,Online Brands Nordic AB,First North Stockholm,40080136.77
OODA.ST,OODA AI AB,First North Stockholm,9108685.33
OPSYH.ST,Opsy Holding AB,Spotlight Stockholm,10457518.34
OPTER.ST,Opter AB,First North Stockholm,41921397.38
OPTI.ST,OptiCept Technologies AB,First North Stockholm,15112516.59
ORX.ST,Orexo AB,Nasdaq Stockholm Small Cap,40503006.03
ORGC.ST,OrganoClick AB,First North Stockholm,3840400.61
ORRON.ST,Orrön Energy AB,Nasdaq Stockholm Mid Cap,189823305.94
ORTIN.ST,Ortelius International AB,First North Stockholm,574497.73
ORTI-A.ST,Ortivus AB ser. A,First North Stockholm,14722087.34
ORTI-B.ST,Ortivus AB ser. B,First North Stockholm,14672284.72
ORT-B.ST,Ortoma AB ser. B,First North Stockholm,30073919.04
OURLIV.ST,OurLiving AB,Spotlight Stockholm,3833967.95
OXE.ST,OXE Marine AB,First North Stockholm,17625385.59
PAX.ST,Paxman AB,First North Stockholm,118907845.94
PMED.ST,PEPTONIC Medical AB,Spotlight Stockholm,1926988.30
PERP-B.ST,Perpetua Medical AB ser. B,First North Stockholm,1935560.17
PEXA-B.ST,PExA AB,Spotlight Stockholm,5941091.00
PCAT.ST,Photocat A/S,Spotlight Stockholm,2100170.39
PTRK.ST,Physitrack PLC,First North Premier Stockholm,12077795.98
PIERCE.ST,Pierce Group AB,Nasdaq Stockholm Small Cap,58622475.55
PILA.ST,PILA PHARMA AB,First North Stockholm,9176321.22
PION-B.ST,PION Group AB ser. B,Nasdaq Stockholm Small Cap,27348667.69
PIXEL.ST,PixelFox,Nordic Growth Market,7358863.76
POLAR.ST,PolarCool AB,Spotlight Stockholm,1258443.58
POLYG.ST,Polygiene Group AB,First North Stockholm,12760520.17
POLYMER.ST,Polymer Factory,Nordic Growth Market,1077716.16
PCELL.ST,PowerCell Sweden AB,Nasdaq Stockholm Mid Cap,102740109.96
PREBON.ST,Prebona AB,Spotlight Stockholm,1905497.47
PRCO-B.ST,Precio Fishbone AB ser. B,First North Premier Stockholm,14745265.07
PREC.ST,Precise Biometrics AB,Nasdaq Stockholm Small Cap,14583758.95
PCOM-B.ST,Precomp Solutions AB ser. B,First North Stockholm,2608841.05
SNX.ST,Premium Snacks Nordic AB,First North Stockholm,38963687.16
PHOL-PREF.ST,Preservia Holding PREF,Nordic Growth Market,1048034.93
PHYR-B.ST,Preservia Hyresfastigheter B,Nordic Growth Market,620141.66
PHYR-PREF.ST,Preservia Hyresfastigheter PREF,Nordic Growth Market,0.00
PRESRV.ST,Preservium Property AB,Spotlight Stockholm,19268646.29
PREV-B.ST,Prevas AB ser. B,Nasdaq Stockholm Small Cap,68196064.45
PRIC-B.ST,Pricer AB ser. B,Nasdaq Stockholm Small Cap,57726565.94
PACT.ST,Proact IT Group AB,Nasdaq Stockholm Mid Cap,298188623.23
PROF-B.ST,ProfilGruppen AB ser. B,Nasdaq Stockholm Small Cap,80772652.84
PRFO.ST,Profoto Holding AB,Nasdaq Stockholm Small Cap,26200873.36
PRLD.ST,Prolight Diagnostics,Nordic Growth Market,23037617.99
PRPORT.ST,Proport Invest AB,Spotlight Stockholm,0.00
PROGEN.ST,Prostatype Genomics AB,First North Stockholm,7257799.74
PROVIT.ST,Provide IT Sweden AB,Spotlight Stockholm,442630.04
PVRTO1-B.ST,PublicVC RTO1 AB B,Spotlight Stockholm,0.00
PVRTO2-B.ST,PublicVC RTO2 AB B,Spotlight Stockholm,0.00
QLINEA.ST,Q-Linea AB,Nasdaq Stockholm Small Cap,30781378.78
QBEN.ST,Qben Infra AB,First North Premier Stockholm,40576135.20
QBIM.ST,QBIM AB,First North Stockholm,0.00
QBNK.ST,QBNK Holding AB,Spotlight Stockholm,5705942.36
QBRICK.ST,Qbrick,Nordic Growth Market,1777291.62
QIIWI.ST,Qiiwi Games AB,First North Stockholm,4031001.31
QAIR.ST,QleanAir AB,First North Premier Stockholm,23748765.07
QLIFE.ST,QLife Holding AB,First North Stockholm,4170994.67
QLIRO.ST,Qliro AB,Nasdaq Stockholm Small Cap,51659186.99
QCORE.ST,Qlucore AB,First North Stockholm,1464986.55
QSYS.ST,Qualisys Holding Aktiebolag,First North Premier Stockholm,42663755.46
RAIL.ST,Railcare Group AB,Nasdaq Stockholm Small Cap,62735137.38
RMDX.ST,Railway Metrics and Dynamics,Nordic Growth Market,8296555.63
RAKE.ST,Raketech Group Holding plc,First North Premier Stockholm,4933367.34
RAMSH.ST,Ramlösa Shipping AB,Spotlight Stockholm,0.00
RLOS-B.ST,RanLOS,Nordic Growth Market,3237529.52
RPLAN.ST,Ranplan Group AB,First North Stockholm,6566837.21
REAL.ST,Real Fastigheter,Nordic Growth Market,25803626.11
REALFI.ST,Realfiction Holding AB,First North Stockholm,1055381.75
RECY-B.ST,Recyctec Holding AB ser. B,Spotlight Stockholm,734671.44
REDS.ST,Redsense Medical AB,Spotlight Stockholm,5227895.46
RLVNC.ST,Relevance Communication Nordic,Nordic Growth Market,1171464.45
RENT.ST,Rentunder Holding,Nordic Growth Market,569898.60
RESP.ST,Respiratorius AB,Spotlight Stockholm,1580549.61
RROS.ST,Rottneros AB,Nasdaq Stockholm Small Cap,68674022.36
RUG.ST,RugVista Group AB,First North Premier Stockholm,120717188.65
S2M.ST,S2Medical AB ser. B,First North Stockholm,851473.45
SAFE.ST,Safe at Sea AB,Spotlight Stockholm,2773752.93
SLG-B.ST,Safe Lane Gaming B,Nordic Growth Market,1406820.00
SFL.ST,Safello Group AB,First North Stockholm,5518713.01
STATE.ST,Safestate Group,Nordic Growth Market,82513171.27
SFTR.ST,Safeture AB,First North Stockholm,13382413.01
SALT-B.ST,SaltX Technology Holding AB ser. B,First North Premier Stockholm,102354156.86
SANION.ST,Saniona AB,Nasdaq Stockholm Small Cap,122358590.39
SARS.ST,SARSYS,Nordic Growth Market,2220173.01
YIELD.ST,SaveLend Group AB,First North Stockholm,8005032.84
SAXG.ST,Saxlund Group AB,First North Stockholm,6098766.11
SBOK-B.ST,ScandBook Holding AB,First North Stockholm,21437567.60
SDOS.ST,ScandiDos AB,First North Stockholm,4232264.10
ASTOR.ST,Scandinavian Astor Group,Nordic Growth Market,86161336.42
SES.ST,Scandinavian Enviro Systems AB,First North Stockholm,11807313.45
HEART.ST,Scandinavian Real Heart AB,First North Stockholm,13210549.08
SCIB.ST,Scibase Holding AB,First North Stockholm,19462675.28
SEAF.ST,Seafire AB,Nasdaq Stockholm Small Cap,49106728.38
SDS.ST,Seamless Distribution Systems,Nordic Growth Market,13504282.27
STW.ST,SeaTwirl AB,First North Stockholm,16408787.16
SEDANA.ST,Sedana Medical AB,Nasdaq Stockholm Small Cap,89533399.74
SEHED-B.ST,SEHED Byggmästargruppen B,Nordic Growth Market,118286664.19
SGG.ST,Sensys Gatso Group AB,Nasdaq Stockholm Small Cap,42798272.05
SENZA.ST,SenzaGen AB,First North Stockholm,13571044.10
SEZI.ST,Senzime AB,Nasdaq Stockholm Small Cap,44487052.31
SERT.ST,Serstech AB,First North Stockholm,11416593.01
SERV.ST,Servana AB,Spotlight Stockholm,4753839.30
SHT-B.ST,SHT Smart High-Tech AB ser. B,Spotlight Stockholm,101882564.89
SIBEK.ST,SIBEK AB,First North Stockholm,52140794.76
SIVI.ST,Siljansvik AB,First North Stockholm,139551917.38
SIMRIS-B.ST,Simris Group AB ser. B,First North Stockholm,10562574.41
SINT.ST,SinterCast AB,Nasdaq Stockholm Small Cap,64296531.88
SCC-B.ST,Sjöstrand Coffee Int AB ser. B,Spotlight Stockholm,2412903.49
SKOLON.ST,Skolon AB,First North Stockholm,51465222.71
SKMO.ST,Skåne-möllan AB,First North Stockholm,52358078.60
SLEEP.ST,Sleep Cycle AB,Nasdaq Stockholm Small Cap,39226901.31
SLOTT-B.ST,Slottsviken Fastighetsaktiebolag ser. B,Spotlight Stockholm,4506550.22
SEYE.ST,Smart Eye AB,First North Stockholm,187777475.63
SMCRT.ST,SmartCraft Group AB,Nasdaq Stockholm Mid Cap,206910421.57
SMOL.ST,Smoltek Nanotech Holding AB,Spotlight Stockholm,24763332.05
SOCIAL.ST,Sociallite US AB,Spotlight Stockholm,402197.64
SOF-B.ST,Softronic AB ser. B,Nasdaq Stockholm Small Cap,102047880.09
SFAB.ST,Solid Försäkringsaktiebolag,Nasdaq Stockholm Small Cap,169632346.38
SOLIDX.ST,SolidX AB,Spotlight Stockholm,6405154.06
SOLNA.ST,Solnaberg Property AB,First North Stockholm,38749344.98
SOLT.ST,SolTech Energy Sweden AB,First North Stockholm,10397506.81
SIN.ST,Solution International Nordics AB,Spotlight Stockholm,10402233.10
SONE.ST,Sonetel AB,First North Stockholm,3557557.21
SOSI.ST,Sotkamo Silver,Nordic Growth Market,144660363.32
SOUND.ST,Sound Dimension AB,Spotlight Stockholm,8247732.66
SPACEN-B.ST,Space Nord Invest AB ser. B,First North Stockholm,20456752.75
SPAGO.ST,Spago Nanomedical AB,First North Stockholm,7530572.40
SPEONE.ST,SpectrumOne AB,First North Stockholm,5033189.43
SPERM.ST,Spermosens AB,Spotlight Stockholm,2934444.10
SPGR.ST,Spotlight Group AB,Spotlight Stockholm,16838794.06
SPRINT.ST,Sprint Bioscience AB,First North Premier Stockholm,25250006.46
STVA-B.ST,Star Vault B,Nordic Growth Market,2684442.10
STAR-A.ST,Starbreeze AB ser. A,Nasdaq Stockholm Small Cap,14186323.93
STAR-B.ST,Starbreeze AB ser. B,Nasdaq Stockholm Small Cap,14186323.93
STIL.ST,Stille AB,First North Stockholm,187556491.97
STHLM.ST,Stockholm Treasury AB,Spotlight Stockholm,521820.17
STWK.ST,Stockwik AB,Nasdaq Stockholm Small Cap,9194864.54
SBG.ST,StoneBeach Group,Nordic Growth Market,2276880.00
STUDBO.ST,Studentbostäder i Norden AB,First North Premier Stockholm,74833743.49
SVIK.ST,Studsvik AB,Nasdaq Stockholm Small Cap,155212262.88
SUBGEN.ST,Subgen AI AB,First North Stockholm,4298460.96
SUMMAS.ST,Summa Defence Oyj,First North Stockholm,17559647.07
STRD-B.ST,Suntrade Group AB ser. B,Spotlight Stockholm,6836099.74
SUS.ST,Surgical Science Sweden AB,First North Stockholm,222643733.71
SENS.ST,Sustainable Energy Solutions Sweden Holding,Nordic Growth Market,1252773.01
SUSG.ST,Sustainion Group AB,Spotlight Stockholm,37234872.93
SVED-B.ST,Svedbergs Group AB ser. B,Nasdaq Stockholm Mid Cap,264522823.58
AERO.ST,Svenska Aerogel Holding AB,First North Stockholm,3294306.81
BUY.ST,Sweden BuyersClub AB,First North Stockholm,0.00
SYNACT.ST,SynAct Pharma AB,Nasdaq Stockholm Small Cap,88309293.19
SYNEXO.ST,Synexo Group,Nordic Growth Market,4399331.35
SYNT.ST,SyntheticMR AB,Spotlight Stockholm,4493908.12
SODER.ST,Söder Sportfiske AB,First North Stockholm,11782766.46
TAGM-B.ST,TagMaster AB ser. B,First North Premier Stockholm,40296687.25
TALK.ST,TalkPool AG,First North Stockholm,11026542.27
TCC-A.ST,TCECUR Sweden A,Nordic Growth Market,16445238.34
TELLUS.ST,Tellusgruppen AB,First North Stockholm,10766650.57
TSEC.ST,Tempest Security AB,First North Premier Stockholm,8789700.44
TENEO.ST,Teneo AI AB,First North Stockholm,8906744.89
TERNOR.ST,Terranor Group AB,First North Stockholm,68995633.19
TESSIN.ST,Tessin Nordic Holding AB,Spotlight Stockholm,836424.19
THINC.ST,Thinc,Nordic Growth Market,2384489.78
TPGR.ST,Time People Group,Nordic Growth Market,744427.69
TINGS-A.ST,Tingsvalvet Fastighets AB ser. A,First North Stockholm,65713505.50
TINGS-B.ST,Tingsvalvet Fastighets AB ser. B,First North Stockholm,65713505.50
TINGS-PREF.ST,Tingsvalvet Fastighets AB ser. PREF,First North Stockholm,0.00
TITA-B.ST,Titania Holding AB ser. B,First North Stockholm,56981690.83
TOBII.ST,Tobii AB,Nasdaq Stockholm Small Cap,22167255.55
